date,location,chla
01/01/19 00:00,North,0.242437854
09/01/19 00:00,North,0.209024131
17/01/19 00:00,North,0.117485389
25/01/19 00:00,North,0.187870592
02/02/19 00:00,North,0.266665816
10/02/19 00:00,North,0.34094277
18/02/19 00:00,North,0.265081823
26/02/19 00:00,North,0.270540684
06/03/19 00:00,North,0.285215199
14/03/19 00:00,North,0.432052106
22/03/19 00:00,North,0.668831527
30/03/19 00:00,North,0.261337042
07/04/19 00:00,North,0.280181557
15/04/19 00:00,North,0.244077951
23/04/19 00:00,North,0.286174744
01/05/19 00:00,North,0.210367665
09/05/19 00:00,North,0.34467414
17/05/19 00:00,North,0.362709314
25/05/19 00:00,North,0.35948649
02/06/19 00:00,North,0.421507627
10/06/19 00:00,North,0.430882066
18/06/19 00:00,North,0.309837341
26/06/19 00:00,North,0.311472923
04/07/19 00:00,North,0.462506562
12/07/19 00:00,North,0.458289683
20/07/19 00:00,North,0.535906971
28/07/19 00:00,North,0.470159799
05/08/19 00:00,North,0.437945336
13/08/19 00:00,North,0.498387516
21/08/19 00:00,North,0.585618436
29/08/19 00:00,North,0.542554796
06/09/19 00:00,North,0.627278566
14/09/19 00:00,North,0.564299762
22/09/19 00:00,North,0.456772387
30/09/19 00:00,North,0.505514443
08/10/19 00:00,North,0.343586832
16/10/19 00:00,North,0.339996547
24/10/19 00:00,North,0.266084403
01/11/19 00:00,North,0.404944599
09/11/19 00:00,North,0.252996594
17/11/19 00:00,North,0.312290519
25/11/19 00:00,North,0.252520174
03/12/19 00:00,North,0.295542151
11/12/19 00:00,North,0.186035916
19/12/19 00:00,North,0.286037713
27/12/19 00:00,North,0.356390506
01/01/20 00:00,North,0.146411493
09/01/20 00:00,North,0.171142325
17/01/20 00:00,North,0.227778077
25/01/20 00:00,North,0.219385237
02/02/20 00:00,North,0.127718747
10/02/20 00:00,North,0.281412482
18/02/20 00:00,North,0.336722821
26/02/20 00:00,North,0.370283157
05/03/20 00:00,North,0.236683115
13/03/20 00:00,North,0.247222334
21/03/20 00:00,North,0.349803418
29/03/20 00:00,North,0.811854303
06/04/20 00:00,North,0.270478666
14/04/20 00:00,North,0.242721781
22/04/20 00:00,North,0.30666256
30/04/20 00:00,North,0.430361986
08/05/20 00:00,North,0.349473298
16/05/20 00:00,North,0.486990064
24/05/20 00:00,North,0.608550429
01/06/20 00:00,North,0.47750774
09/06/20 00:00,North,0.416941494
17/06/20 00:00,North,0.321844965
25/06/20 00:00,North,0.348780096
03/07/20 00:00,North,0.347457439
11/07/20 00:00,North,0.418379337
19/07/20 00:00,North,0.504662454
27/07/20 00:00,North,0.656774044
04/08/20 00:00,North,0.388468087
12/08/20 00:00,North,0.374451995
28/08/20 00:00,North,0.331108779
05/09/20 00:00,North,0.336265683
13/09/20 00:00,North,0.340390623
21/09/20 00:00,North,0.40712896
29/09/20 00:00,North,0.218498737
07/10/20 00:00,North,0.200380281
15/10/20 00:00,North,0.211143285
23/10/20 00:00,North,0.3060444
31/10/20 00:00,North,0.394322962
08/11/20 00:00,North,0.216552734
16/11/20 00:00,North,0.286358625
24/11/20 00:00,North,0.146551803
02/12/20 00:00,North,0.293360502
10/12/20 00:00,North,0.256536961
18/12/20 00:00,North,0.116739921
26/12/20 00:00,North,0.145837471
01/01/21 00:00,North,0.187646598
09/01/21 00:00,North,0.144121945
17/01/21 00:00,North,0.157852694
25/01/21 00:00,North,0.388852358
10/02/21 00:00,North,0.299421936
18/02/21 00:00,North,0.195609927
26/02/21 00:00,North,0.243579432
06/03/21 00:00,North,0.215742707
14/03/21 00:00,North,0.191332266
22/03/21 00:00,North,0.222447887
30/03/21 00:00,North,0.389329076
07/04/21 00:00,North,0.627933741
15/04/21 00:00,North,0.227832928
23/04/21 00:00,North,0.199664727
01/05/21 00:00,North,0.266566515
09/05/21 00:00,North,0.255431473
17/05/21 00:00,North,0.219536036
25/05/21 00:00,North,0.233880624
02/06/21 00:00,North,0.288837641
