municipality,total boat_ 2016 registration,total boat _2021_2022_ongoing reg,percentage rate,geographical space
Bobonaro,211,506,54.90%,north
Liquica,332,683,48.20%,north
Dili,365,365,,north
Manatuto,283,213,,"north,south"
Baucau,415,433,4.80%,north
Lautem,182,250,21.00%,"south,north"
Viqueque,213,207,,south
Manufahi,94,223,,south
Ainaro,7,50,,south
Covalima,143,255,,south
RAEOA,263,263,,north
Atauro,348,348,,north
